name,model,tdp,vram,price
MSI GT 1030 2GH LP OC,GeForce GT 1030,30,2,155.38
Asus GT1030-2G-CSM,GeForce GT 1030,30,2,77.75
Asus Phoenix Fan OC,GeForce GT 1030,30,2,125.18
Zotac GAMING Twin Fan,GeForce GTX 1650 SUPER,100,4,384.2
Asus TUF GAMING OC,GeForce GTX 1650 SUPER,100,4,431.14
EVGA SC ULTRA GAMING,GeForce GTX 1650 SUPER,100,4,413.86
MSI GAMING X,GeForce GTX 1650 SUPER,100,4,467.98
Gigabyte OC,GeForce GTX 1660,120,6,529.63
Asus DUAL EVO OC,GeForce GTX 1660 SUPER,125,6,464.83
MSI VENTUS XS OC,GeForce GTX 1660 SUPER,125,6,543.79
Asus Phoenix OC,GeForce GTX 1660 SUPER,125,6,430.27
Zotac GAMING,GeForce RTX 2060,160,6,593.53
NVIDIA Founders Edition,GeForce RTX 2070 SUPER,215,8,1122.71
Asus STRIX GAMING OC,GeForce RTX 2080 Ti,250,11,2851.21
Zotac GAMING Twin Edge OC,GeForce RTX 3060,170,12,765.65
EVGA XC GAMING,GeForce RTX 3060,170,12,777.6
MSI VENTUS 2X,GeForce RTX 3060,170,12,760.32
MSI GAMING X TRIO,GeForce RTX 3070,220,8,1010.6
Gigabyte AORUS MASTER,GeForce RTX 3070,220,8,1028.14
EVGA XC3 ULTRA GAMING,GeForce RTX 3070,220,8,1118.85
MSI VENTUS 3X OC,GeForce RTX 3070,220,8,984.96
Asus KO Gaming OC,GeForce RTX 3070,220,8,1036.8
MSI VENTUS 2X OC,GeForce RTX 3070,220,8,948.67
Asus ROG STRIX GAMING OC,GeForce RTX 3070,220,8,1023.76
Gigabyte GAMING OC,GeForce RTX 3070 Ti,290,8,1363.4
EVGA FTW3 ULTRA GAMING,GeForce RTX 3080,320,10,1649.39
EVGA FTW3 ULTRA GAMING LE iCX3,GeForce RTX 3080 Ti,350,12,1671.82
Gigabyte AORUS XTREME,GeForce RTX 3090,350,24,3023.16
MSI SUPRIM,GeForce RTX 3090,350,24,3022.2
Asus ROG STRIX WHITE OC,GeForce RTX 3090,350,24,3152.76
PNY VCQGV100-PB,Quadro GV100,250,32,9123.9
ASRock Phantom Gaming D,Radeon RX 570,150,4,410.39
Sapphire NITRO+,Radeon RX 580,185,4,350.78
Sapphire PULSE,Radeon RX 580,185,8,561.59
XFX Speedster MERC 319 Black,Radeon RX 6700 XT,230,12,863.96
PowerColor Hellhound Spectral,Radeon RX 6700 XT,230,12,902.02
